rooms,Elitka,area,heating,floor,price
1,1,47,1,4,32000
1,1,45,1,5,32000
1,1,36,1,9,32000
1,1,40,1,5,32000
1,1,32,1,9,32000
1,1,34,1,4,32000
1,1,35,1,6,32000
1,1,30,1,6,32000
1,1,32,1,6,32000
1,1,44,1,5,32000
1,1,48,1,7,32000
1,1,30,1,5,32000
1,1,32,1,7,32000
1,0,32,1,8,32000
1,1,32,1,7,32000
1,1,34,1,7,32000
1,1,36,1,7,32000
1,1,32,1,3,32000
1,1,35,1,6,32000
1,1,34,1,7,32000
1,0,45,1,7,32000
1,0,34,1,8,32000
1,0,39,1,7,32000
1,0,44,1,3,32000
2,0,52,1,7,32000
2,0,42,1,3,32000
2,0,42,1,5,32000
2,0,43,1,4,32000
2,0,44,1,5,32000
2,0,52,1,3,32000
2,0,52,1,4,32000
2,0,43,1,4,32000
2,0,42,1,5,32000
2,0,50,1,3,32000
2,0,55,1,1,32000
4,0,75,0,1,32000
3,0,69,1,1,32000
4,0,100,0,1,32000
1,0,44,1,7,32000
1,0,40,1,4,32000
3,1,64,1,2,32000
2,0,53,1,5,32000
2,0,52,1,4,32000
2,1,70,1,1,32000
2,0,51,1,9,32000
2,0,48,1,3,32000
2,0,42,1,8,32000
1,1,45,1,9,32127
1,1,45,1,7,32160
1,1,45,1,8,32200
1,1,46,1,5,32200
1,1,48,1,8,32200
2,1,53,1,6,32200
2,0,32,1,4,32200
1,1,42,1,3,32200
2,0,51,1,6,32300
2,0,42,1,8,32300
2,0,42,1,9,32400
1,1,42,1,7,32500
1,1,35,1,6,32500
2,0,45,1,9,32500
2,0,45,1,6,32500
2,0,36,1,7,32500
2,0,32,1,9,32500
2,0,34,1,3,32500
2,0,45,1,9,32500
1,0,48,1,4,32500
2,0,55,1,1,32500
1,1,30,1,4,32500
1,1,34,1,7,32500
1,1,32,1,5,32500
1,1,32,1,7,32500
1,1,32,1,8,32500
1,1,35,1,7,32500
1,1,32,1,5,32500
1,1,32,1,8,32500
1,1,41,1,4,32500
1,1,41,1,9,32500
2,0,45,1,5,32500
2,0,39,1,6,32500
1,1,32,1,7,32500
1,1,30,1,9,32500
1,1,30,1,6,32500
2,0,45,1,5,32500
1,1,34,1,7,32500
1,1,36,1,8,32500
3,0,78,0,1,32500
1,1,41,1,5,32500
1,1,42,1,9,32500
3,0,60,1,1,32500
3,1,58,1,2,32500
3,1,62,1,2,32500
2,1,48,1,8,32500
2,1,45,1,4,32500
2,1,45,1,6,32500
2,1,43,1,6,32500
2,0,35,1,6,32500
3,0,52,1,3,32500
1,1,34,1,8,32500
2,0,52,1,6,32500
1,1,38,1,7,32500
2,0,34,1,8,32500
1,1,30,1,5,32500
1,1,30,1,3,32500
2,1,32,1,8,32500
1,1,48,1,9,32500
1,1,35,1,7,33000
